APScheduler,https://raw.githubusercontent.com/agronholm/apscheduler/master/LICENSE.txt,MIT
Click,https://raw.githubusercontent.com/pallets/click/master/LICENSE.rst,3-Clause BSD
Flask,https://raw.githubusercontent.com/pallets/flask/master/LICENSE,3-Clause BSD
Jinja2,https://raw.githubusercontent.com/pallets/jinja/master/LICENSE.rst,BSD
Keras-Applications,https://raw.githubusercontent.com/keras-team/keras-applications/master/LICENSE,MIT
Keras-Preprocessing,https://raw.githubusercontent.com/keras-team/keras-preprocessing/master/LICENSE,MIT
Mako,https://raw.githubusercontent.com/zzzeek/mako/master/LICENSE,MIT
Markdown,https://raw.githubusercontent.com/Python-Markdown/markdown/master/LICENSE.md,BSD
MarkupSafe,https://raw.githubusercontent.com/pallets/markupsafe/master/LICENSE.rst,BSD
Pillow,https://raw.githubusercontent.com/python-pillow/Pillow/master/LICENSE,PIL
PyJWT,https://raw.githubusercontent.com/jpadilla/pyjwt/master/LICENSE,MIT
PyVCF,https://raw.githubusercontent.com/jamescasbon/PyVCF/master/LICENSE,BSD
PyYAML,https://raw.githubusercontent.com/yaml/pyyaml/master/LICENSE,MIT
Pygments,https://raw.githubusercontent.com/nex3/pygments/master/LICENSE,2-Clause BSD
Send2Trash,https://raw.githubusercontent.com/hsoft/send2trash/master/LICENSE,3-Clause BSD
Werkzeug,https://raw.githubusercontent.com/pallets/werkzeug/master/LICENSE.rst,3-Clause BSD
absl-py,https://raw.githubusercontent.com/abseil/abseil-py/master/LICENSE,Apache 2.0
adal,https://raw.githubusercontent.com/AzureAD/azure-activedirectory-library-for-python/dev/LICENSE,MIT
alembic,https://raw.githubusercontent.com/zzzeek/alembic/master/LICENSE,MIT
apache-beam,https://raw.githubusercontent.com/apache/beam/master/LICENSE,Apache 2.0
asn1crypto,https://raw.githubusercontent.com/wbond/asn1crypto/master/LICENSE,MIT
astor,https://raw.githubusercontent.com/berkerpeksag/astor/master/LICENSE,BSD-3-Clause
attrs,https://raw.githubusercontent.com/python-attrs/attrs/master/LICENSE,MIT
avro,https://raw.githubusercontent.com/apache/avro/master/LICENSE.txt,Apache 2.0
avro-python3,https://raw.githubusercontent.com/apache/avro/master/LICENSE.txt,Apache 2.0
backcall,https://raw.githubusercontent.com/takluyver/backcall/master/LICENSE,BSD-3-Clause
backports-abc,https://raw.githubusercontent.com/cython/backports_abc/master/LICENSE,PSF
backports.functools-lru-cache,https://raw.githubusercontent.com/jaraco/backports.functools_lru_cache/master/LICENSE,MIT
backports.shutil-get-terminal-size,https://raw.githubusercontent.com/chrippa/backports.shutil_get_terminal_size/master/LICENSE,MIT
backports.weakref,https://raw.githubusercontent.com/pjdelport/backports.weakref/master/LICENSE,PYTHON SOFTWARE FOUNDATION LICENSE VERSION 2
bleach,https://raw.githubusercontent.com/mozilla/bleach/master/LICENSE,Apache 2.0
cached-property,https://raw.githubusercontent.com/pydanny/cached-property/master/LICENSE,3-Clause BSD
